frame_path,label,video_path
data\processed\faces\real\id12_0006_frame000000_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000010_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000020_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000030_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000040_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000050_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000060_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000070_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000080_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000090_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000100_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000110_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000120_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000130_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000140_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000150_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000160_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000170_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000180_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000190_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000200_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000210_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000220_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000230_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000240_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000250_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000260_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000270_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000280_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id12_0006_frame000290_face.jpg,0,data\raw\celeb-df\Celeb-real\id12_0006.mp4
data\processed\faces\real\id16_0008_frame000000_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000010_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000020_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000030_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000040_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000050_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000060_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000070_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000080_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000090_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000100_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000110_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000120_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000130_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000140_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000150_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000160_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000170_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000180_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000190_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000200_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000210_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000220_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000230_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000240_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000250_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000260_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000270_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000280_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id16_0008_frame000290_face.jpg,0,data\raw\celeb-df\Celeb-real\id16_0008.mp4
data\processed\faces\real\id2_0009_frame000000_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000010_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000020_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000030_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000040_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000050_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000060_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000070_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000080_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000090_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000100_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000110_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000120_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000130_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000140_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000150_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000160_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000170_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000180_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000190_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000200_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000210_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000220_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000230_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000240_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
data\processed\faces\real\id2_0009_frame000250_face.jpg,0,data\raw\celeb-df\Celeb-real\id2_0009.mp4
